Date,Year,Month,SpawningMonth,Colony.ID,Bundle.ID,Egg.Rep,Area.mm2,Diameter.mm,vol.mm3
20170526,2017,May,1,118/330,B032,12,0.1278,0.42726,0.040838987
20170526,2017,May,1,118/330,B032,13,0.118,0.38745,0.030454064
20170526,2017,May,1,118/330,B032,14,0.1353,0.418,0.038240812
20170526,2017,May,1,118/330,B032,15,0.1411,0.46863,0.05388756
20170526,2017,May,1,118/330,B033,1,0.119,0.402,0.034015465
20170526,2017,May,1,118/330,B033,2,0.128,0.424,0.039911296
20170526,2017,May,1,118/330,B033,3,0.108,0.381,0.028958308
20170526,2017,May,1,118/330,B033,4,0.126,0.405,0.034782703
20170526,2017,May,1,118/330,B033,5,0.127,0.408,0.035561391
20170526,2017,May,1,118/330,B033,6,0.129,0.414,0.037153461
20170526,2017,May,1,118/330,B033,7,0.132,0.415,0.03742334
20170526,2017,May,1,118/330,B033,8,0.138,0.424,0.039911296
20170526,2017,May,1,118/330,B034,1,0.152,0.442,0.045213181
20170526,2017,May,1,118/330,B034,2,0.167,0.482,0.058632629
20170526,2017,May,1,118/330,B034,3,0.156,0.45,0.047712898
20170526,2017,May,1,118/330,B034,4,0.149,0.442,0.045213181
20170526,2017,May,1,118/330,B034,5,0.155,0.457,0.049974316
20170526,2017,May,1,118/330,B034,6,0.166,0.464,0.052306083
20170526,2017,May,1,118/330,B034,7,0.158,0.46,0.050964967
20170526,2017,May,1,118/330,B035,1,0.159,0.449,0.047395518
20170526,2017,May,1,118/330,B035,2,0.162,0.463,0.051968625
20170526,2017,May,1,118/330,B035,3,0.156,0.456,0.049646974
20170526,2017,May,1,118/330,B035,4,0.163,0.452,0.048351902
20170526,2017,May,1,118/330,B035,5,0.15,0.453,0.048673532
20170526,2017,May,1,118/330,B035,6,0.154,0.447,0.046764988
20170526,2017,May,1,118/330,B035,7,0.159,0.446,0.04645183
20170526,2017,May,1,118/330,B035,8,0.151,0.439,0.044298785
20170526,2017,May,1,118/330,B035,9,0.154,0.444,0.045829716
20170527,2017,May,1,117,B036,1,0.111,0.373,0.027172197
20170527,2017,May,1,117,B036,2,0.119,0.395,0.0322693
20170527,2017,May,1,117,B036,3,0.11,0.375,0.027611631
20170527,2017,May,1,117,B036,4,0.131,0.405,0.034782703
20170527,2017,May,1,117,B036,5,0.129,0.403,0.034269944
20170527,2017,May,1,117,B036,6,0.114,0.374,0.027391326
20170527,2017,May,1,117,B036,7,0.122,0.394,0.032024836
20170527,2017,May,1,117,B036,8,0.112,0.38,0.028730888
20170527,2017,May,1,117,B036,9,0.125,0.402,0.034015465
20170527,2017,May,1,117,B037,1,0.139,0.425,0.040194353
20170527,2017,May,1,117,B037,2,0.125,0.406,0.035040989
20170527,2017,May,1,117,B037,3,0.133,0.42,0.038792353
20170527,2017,May,1,117,B037,4,0.131,0.419,0.038515924
20170527,2017,May,1,117,B037,5,0.145,0.437,0.043696089
20170527,2017,May,1,117,B037,6,0.134,0.418,0.038240812
20170527,2017,May,1,117,B037,7,0.13,0.423,0.03962957
20170527,2017,May,1,117,B037,8,0.135,0.43,0.041629733
20170527,2017,May,1,117,B037,9,0.135,0.42,0.038792353
20170527,2017,May,1,117,B037,10,0.126,0.405,0.034782703
20170527,2017,May,1,117,B037,11,0.125,0.389,0.030821024
20170527,2017,May,1,117,B037,12,0.135,0.409,0.035823514
20170527,2017,May,1,117,B038,1,NA,NA,NA
