Egg,Sperm,Cross,Timepoint,Conical.ID,Larval.ID,Start,End,censor
NB,NB,NBNB,6,L8,10,20160711,20160712,0
NB,NB,NBNB,6,L9,1,20160711,20160712,0
NB,NB,NBNB,6,L9,2,20160711,20160712,0
NB,NB,NBNB,6,L9,3,20160711,20160712,0
NB,NB,NBNB,6,L9,4,20160711,20160712,0
NB,NB,NBNB,6,L9,5,20160711,20160712,0
NB,NB,NBNB,6,L9,6,20160711,20160712,0
NB,NB,NBNB,6,L9,7,20160711,20160712,0
NB,NB,NBNB,6,L9,8,20160711,20160712,0
NB,NB,NBNB,6,L9,9,20160711,20160712,0
NB,NB,NBNB,6,L9,10,20160711,20160712,0
NB,NB,NBNB,6,L9,11,20160711,20160712,0
NB,NB,NBNB,6,S22,1,20160711,20160712,0
NB,NB,NBNB,6,S22,2,20160711,20160712,0
NB,NB,NBNB,6,S22,3,20160711,20160712,0
NB,NB,NBNB,6,S22,4,20160711,20160712,0
NB,NB,NBNB,6,S22,5,20160711,20160712,0
NB,NB,NBNB,6,S22,6,20160711,20160712,0
NB,NB,NBNB,6,S22,7,20160711,20160712,0
NB,NB,NBNB,6,S22,8,20160711,20160712,0
NB,NB,NBNB,6,S22,9,20160711,20160712,0
NB,NB,NBNB,6,S22,10,20160711,20160712,0
B,B,BB,7,L13,1,20160712,20160713,0
B,B,BB,7,L13,2,20160712,20160713,0
B,B,BB,7,L13,3,20160712,20160713,0
B,B,BB,7,L13,4,20160712,20160713,1
B,B,BB,7,L13,5,20160712,20160713,1
B,B,BB,7,L13,6,20160712,20160713,1
B,B,BB,7,L13,7,20160712,20160713,1
B,B,BB,7,L13,8,20160712,20160713,1
B,B,BB,7,L13,9,20160712,20160713,1
B,B,BB,7,L13,10,20160712,20160713,1
B,B,BB,7,L13,11,20160712,20160713,1
B,B,BB,7,L13,12,20160712,20160713,1
B,B,BB,7,L13,13,20160712,20160713,1
B,B,BB,7,L13,14,20160712,20160713,1
B,B,BB,7,L13,15,20160712,20160713,1
B,B,BB,7,L14,1,20160712,20160713,0
B,B,BB,7,L14,2,20160712,20160713,0
B,B,BB,7,L14,3,20160712,20160713,0
B,B,BB,7,L14,4,20160712,20160713,0
B,B,BB,7,L14,5,20160712,20160713,0
B,B,BB,7,L14,6,20160712,20160713,0
B,B,BB,7,L14,7,20160712,20160713,1
B,B,BB,7,L14,8,20160712,20160713,1
B,B,BB,7,L14,9,20160712,20160713,1
B,B,BB,7,L14,10,20160712,20160713,1
B,B,BB,7,L3,1,20160712,20160713,0
B,B,BB,7,L3,2,20160712,20160713,0
B,B,BB,7,L3,3,20160712,20160713,0
B,B,BB,7,L3,4,20160712,20160713,0
B,B,BB,7,L3,5,20160712,20160713,0
B,B,BB,7,L3,6,20160712,20160713,0
B,B,BB,7,L3,7,20160712,20160713,0
B,B,BB,7,L3,8,20160712,20160713,0
B,B,BB,7,L3,9,20160712,20160713,0
B,B,BB,7,L3,10,20160712,20160713,0
B,B,BB,7,L3,11,20160712,20160713,0
B,B,BB,7,L3,12,20160712,20160713,0
B,B,BB,7,L3,13,20160712,20160713,1
B,B,BB,7,L3,14,20160712,20160713,1
B,B,BB,7,L3,15,20160712,20160713,1
B,B,BB,7,L4,1,20160712,20160713,0
B,B,BB,7,L4,2,20160712,20160713,0
B,B,BB,7,L4,3,20160712,20160713,0
B,B,BB,7,L4,4,20160712,20160713,0
B,B,BB,7,L4,5,20160712,20160713,0
B,B,BB,7,L4,6,20160712,20160713,0
B,B,BB,7,L4,7,20160712,20160713,0
B,B,BB,7,L4,8,20160712,20160713,0
B,B,BB,7,L4,9,20160712,20160713,0
B,B,BB,7,L4,10,20160712,20160713,0
B,B,BB,7,L5,1,20160712,20160713,0
B,B,BB,7,L5,2,20160712,20160713,0
B,B,BB,7,L5,3,20160712,20160713,0
B,B,BB,7,L5,4,20160712,20160713,0
B,B,BB,7,L5,5,20160712,20160713,0
B,B,BB,7,L5,6,20160712,20160713,0
B,B,BB,7,L5,7,20160712,20160713,0
B,B,BB,7,L5,8,20160712,20160713,0
B,B,BB,7,L5,9,20160712,20160713,0
B,B,BB,7,L5,10,20160712,20160713,0
B,B,BB,7,L5,11,20160712,20160713,0
B,B,BB,7,L5,12,20160712,20160713,0
B,B,BB,7,L5,13,20160712,20160713,1
B,B,BB,7,L5,14,20160712,20160713,1
B,B,BB,7,L5,15,20160712,20160713,1
B,B,BB,7,L6,1,20160712,20160713,0
B,B,BB,7,L6,2,20160712,20160713,0
B,B,BB,7,L6,3,20160712,20160713,0
B,B,BB,7,L6,4,20160712,20160713,0
B,B,BB,7,L6,5,20160712,20160713,0
B,B,BB,7,L6,6,20160712,20160713,0
B,B,BB,7,L6,7,20160712,20160713,0
B,B,BB,7,L6,8,20160712,20160713,0
B,B,BB,7,L6,9,20160712,20160713,1
B,B,BB,7,L6,10,20160712,20160713,1
B,B,BB,7,S20,1,20160712,20160713,0
B,B,BB,7,S20,2,20160712,20160713,0
